iter	Passed	Remaining
482	613	656
483	614	655
484	615	653
485	616	652
486	617	650
487	618	649
488	619	647
489	620	646
490	621	644
491	622	642
492	623	641
493	624	639
494	625	638
495	626	636
496	627	635
497	628	633
498	630	632
499	631	631
500	632	629
501	633	628
502	633	626
503	634	624
504	635	623
505	636	621
506	637	620
507	638	618
508	639	616
509	640	615
510	641	613
511	642	612
512	643	611
513	644	609
514	645	608
515	646	606
516	647	605
517	648	603
518	649	602
519	650	600
520	651	599
521	652	597
522	653	596
523	654	594
524	655	592
525	656	591
526	657	590
527	658	588
528	659	587
529	660	585
530	661	584
531	662	582
532	663	580
533	663	579
534	664	577
535	665	576
536	666	574
537	667	573
538	668	572
539	669	570
540	670	569
541	671	567
542	672	566
543	673	564
544	674	563
545	675	561
546	676	560
547	677	558
548	678	557
549	679	555
550	680	554
551	681	552
552	682	551
553	682	549
554	683	548
555	684	546
556	685	545
557	686	543
558	687	542
559	688	541
560	689	539
561	690	538
562	691	536
563	692	535
564	693	533
565	693	532
566	694	530
567	695	529
568	696	527
569	697	526
570	698	524
571	699	523
572	700	521
573	700	520
574	702	519
575	703	517
576	704	516
577	705	515
578	706	513
579	707	512
580	708	510
581	709	509
582	709	507
583	710	506
584	711	504
585	712	503
586	713	502
587	714	500
588	715	499
589	716	497
590	717	496
591	718	495
592	719	493
593	720	492
594	721	491
595	722	489
596	723	488
597	724	486
598	725	485
599	725	483
600	726	482
601	727	481
602	728	479
603	729	478
604	730	477
605	732	476
606	733	474
607	733	473
608	734	471
609	735	470
610	736	469
611	737	467
612	738	466
613	739	464
614	740	463
615	741	462
616	742	460
617	743	459
618	743	457
619	744	456
620	745	455
621	747	453
622	748	452
623	749	451
624	749	449
625	750	448
626	751	447
627	752	445
628	753	444
629	754	442
630	755	441
631	755	440
632	756	438
633	757	437
634	758	436
635	759	434
636	760	433
637	761	432
638	762	430
639	763	429
640	764	428
641	765	426
642	766	425
643	767	424
644	768	422
645	769	421
646	770	420
647	770	418
648	771	417
649	772	416
650	773	414
651	774	413
652	775	412
653	776	410
654	777	409
655	778	408
656	779	406
657	780	405
658	781	404
659	782	402
660	783	401
661	783	400
662	784	398
663	785	397
664	786	396
665	787	395
666	788	393
667	789	392
668	790	391
669	791	389
670	792	388
671	793	387
672	794	386
673	795	384
674	796	383
675	797	382
676	798	380
677	799	379
678	800	378
679	800	376
680	802	375
681	803	374
682	804	373
683	805	372
684	806	370
685	807	369
686	808	368
687	809	366
688	810	365
689	811	364
690	811	363
691	813	361
692	813	360
693	814	359
694	815	358
695	816	356
696	817	355
697	818	354
698	819	353
699	821	351
700	822	350
701	822	349
702	824	348
703	824	346
704	825	345
705	826	344
706	827	343
707	828	341
708	829	340
709	830	339
710	832	338
711	833	337
712	834	335
713	835	334
714	836	333
715	837	332
716	839	331
717	840	330
718	841	328
719	842	327
720	843	326
721	844	325
722	845	323
723	846	322
724	848	321
725	849	320
726	850	319
727	851	318
728	852	316
729	853	315
730	854	314
731	856	313
732	857	312
733	858	310
734	859	309
735	860	308
736	861	307
737	862	306
738	863	304
739	864	303
740	865	302
741	866	301
742	867	300
743	868	298
744	869	297
745	870	296
746	872	295
747	872	294
748	874	292
749	875	291
750	876	290
751	877	289
752	878	288
753	879	287
754	880	285
755	881	284
756	883	283
757	884	282
758	885	281
759	886	279
760	887	278
761	888	277
762	889	276
763	890	275
764	891	273
765	892	272
766	893	271
767	894	270
768	895	269
769	896	267
770	897	266
771	898	265
772	899	264
773	901	263
774	901	261
775	902	260
776	903	259
777	904	258
778	906	257
779	906	255
780	907	254
781	908	253
782	909	252
783	910	250
784	912	249
785	913	248
786	914	247
787	915	246
788	916	245
789	917	243
790	917	242
791	919	241
792	920	240
793	921	239
794	922	237
795	923	236
796	924	235
797	926	234
798	927	233
799	928	232
800	929	230
801	930	229
802	931	228
803	932	227
804	933	226
805	934	224
806	935	223
807	936	222
808	937	221
809	938	220
810	939	219
811	940	217
812	941	216
813	942	215
814	943	214
815	944	212
816	945	211
817	946	210
818	947	209
819	948	208
820	949	207
821	950	205
822	951	204
823	952	203
824	953	202
825	954	201
826	956	199
827	957	198
828	957	197
829	958	196
830	959	195
831	960	194
832	961	192
833	963	191
834	964	190
835	965	189
836	966	188
837	967	186
838	968	185
839	969	184
840	970	183
841	971	182
842	972	181
843	973	179
844	974	178
845	975	177
846	976	176
847	977	175
848	978	174
849	979	172
850	980	171
851	981	170
852	982	169
853	983	168
854	984	166
855	985	165
856	986	164
857	987	163
858	988	162
859	989	161
860	990	159
861	991	158
862	992	157
863	993	156
864	994	155
865	994	153
866	995	152
867	996	151
868	997	150
869	998	149
870	999	148
871	1000	146
872	1001	145
873	1002	144
874	1003	143
875	1004	142
876	1005	141
877	1006	139
878	1007	138
879	1008	137
880	1009	136
881	1010	135
882	1011	134
883	1012	132
884	1013	131
885	1014	130
886	1015	129
887	1016	128
888	1017	127
889	1018	125
890	1019	124
891	1021	123
892	1022	122
893	1023	121
894	1024	120
895	1025	119
896	1026	117
897	1027	116
898	1028	115
899	1029	114
900	1030	113
901	1031	112
902	1033	110
903	1034	109
904	1035	108
905	1036	107
906	1037	106
907	1039	105
908	1041	104
909	1042	103
910	1043	101
911	1044	100
912	1045	99
913	1046	98
914	1047	97
915	1049	96
916	1050	95
917	1051	93
918	1052	92
919	1053	91
920	1054	90
921	1055	89
922	1056	88
923	1057	86
924	1058	85
925	1059	84
926	1060	83
927	1062	82
928	1063	81
929	1064	80
930	1065	78
931	1066	77
932	1067	76
933	1069	75
934	1070	74
935	1071	73
936	1072	72
937	1074	70
938	1075	69
939	1076	68
940	1077	67
941	1078	66
942	1079	65
943	1080	64
944	1081	62
945	1082	61
946	1083	60
947	1084	59
948	1085	58
949	1086	57
950	1087	56
951	1088	54
952	1089	53
953	1090	52
954	1091	51
955	1092	50
956	1093	49
957	1094	47
958	1095	46
959	1096	45
960	1097	44
961	1099	43
962	1100	42
963	1101	41
964	1101	39
965	1102	38
966	1103	37
967	1104	36
968	1105	35
969	1106	34
970	1107	33
971	1108	31
972	1109	30
973	1110	29
974	1111	28
975	1112	27
976	1113	26
977	1114	25
978	1115	23
979	1116	22
980	1117	21
981	1118	20
982	1119	19
983	1120	18
984	1121	17
985	1122	15
986	1123	14
987	1125	13
988	1126	12
989	1127	11
990	1128	10
991	1129	9
992	1130	7
993	1131	6
994	1132	5
995	1133	4
996	1134	3
997	1135	2
998	1137	1
999	1138	0
